Breeding line,Yield
SWW11066B007_3,8.38
SWW11066B008_3,6.67
SWW11068B001_3,8.67
SWW11068B002_3,9.27
SWW11068B003_3,7.86
SWW11070B001_3,9.04
SWW11070B002_3,7.86
SWW11070B003_3,9.19
SWW11071B001_3,8.15
SWW11071B002_3,9.34
SWW11071B003_3,8.75
SWW11071B004_3,8.9
SWW11071B005_3,8.23
SWW11071B006_3,8.08
SWW11075B001_3,7.71
SWW11075B002T_3,9.86
SWW11075B003_3,8.01
SWW11075B004_3,9.93
SWW11075B005_3,8.6
SWW11076B001U_3,10.23
SWW11076B002_3,8.52
SWW11076B003_3,11.05
SWW11076B004_3,10.38
SWW11076B005_3,10.9
SWW11076B006_3,9.56
SWW11076B007_3,10.08
SWW11076B008_3,10.53
SWW11077B001_3,9.56
SWW11077B002_3,10.97
SWW11077B003_3,8.6
SWW11077B004_3,9.19
SWW11077B005_3,9.56
SWW11077B006U_3,8.45
SWW11078B001_3,8.01
SWW11078B002_3,4.89
SWW11078B003_3,9.12
SWW11079B001_3,8.82
SWW11079B002_3,9.41
SWW11079B003_3,8.75
SWW11079B004_3,8.67
SWW11079B005_3,9.04
SWW11079B006_3,9.93
SWW11079B007_3,8.6
SWW11079B008_3,8.97
SWW11079B009_3,7.93
SWW11080B001_3,8.38
SWW11080B002_3,7.49
SWW11080B003_3,7.78
SWW11080B004_3,9.04
SWW11082B001T_3,8.75
SWW11083B001_3,7.41
SWW11083B002_3,8.6
SWW11083B003T_3,9.12
SWW11083B004_3,7.56
SWW11084B001_3,8.6
SWW11084B002T_3,9.34
SWW11084B003_3,8.67
SWW11084B004_3,8.75
SWW11084B005_3,9.12
SWW11084B006_3,9.04
SWW11084B007_3,8.38
SWW11084B008T_3,9.64
SWW11087B001_3,9.19
SWW11087B002_3,9.79
SWW11087B003_3,9.79
SWW11090B001_3,7.56
SWW11090B002_3,7.86
SWW11090B003_3,9.34
SWW11090B004_3,6.97
SWW11090B005_3,8.9
SWW11094B001_3,9.71
SWW11094B002_3,9.19
SWW11094B003_3,10.16
SWW11094B004_3,9.71
SWW11094B005_3,10.6
SWW11094B006_3,9.86
SWW11095B001_3,9.93
SWW11095B002_3,9.86
SWW11098B001_3,10.23
SWW11098B002U_3,9.19
SWW11099B001_3,8.9
SWW11099B002_3,8.52
SWW11099B003_3,9.71
SWW11099B004_3,9.64
SWW11099B005_3,9.04
SWW11102B001_3,10.08
SWW11104B001_3,11.05
SWW11104B002_3,9.12
SWW11104B003_3,10.45
SWW11107B001_3,8.97
SWW11107B002_3,8.38
SWW11107B003_3,8.82
SWW11112B001_3,9.04
SWW11112B002_3,9.27
SWW11112B003_3,9.71
SWW11112B004_3,9.79
SWW11112B005_3,9.27
SWW11112B006_3,9.71
SWW11112B007_3,10.01
SWW11113B001_3,8.38
SWW11113B002_3,9.71
SWW11113B003_3,9.86
SWW11113B004_3,9.49
SWW11113B005_3,8.52
SWW11113B006_3,7.49
SWW11113B007_3,8.52
SWW11113B008_3,7.86
SWW11115B001U_3,7.49
SWW11115B002_3,8.15
SWW11115B003_3,7.34
SWW11116B001_3,8.15
SWW11116B002_3,8.67
SWW11116B003_3,7.64
SWW11117B001_3,7.93
SWW11117B002_3,10.16
SWW11117B003_3,9.12
SWW11117B004_3,8.97
SWW11117B005_3,9.19
SWW11117B006_3,10.45
SWW11117B007_3,10.67
SWW11117B008_3,7.93
SWW11117B009_3,8.75
SWW11118B001_3,7.12
SWW11118B002_3,7.64
SWW11118B003_3,6.6
SWW11118B004_3,8.01
SWW11120B001_3,8.3
SWW11120B0010_3,9.41
SWW11120B0011_3,7.86
SWW11120B002_3,8.01
SWW11120B003U_3,7.64
SWW11120B004_3,7.34
SWW11120B005_3,9.04
SWW11120B006_3,8.45
SWW11120B007_3,8.3
SWW11120B008_3,7.26
SWW11120B009_3,8.3
SWW11123B001_3,9.04
SWW11123B002_3,8.6
SWW11123B003_3,9.49
SWW11123B004_3,8.52
SWW11127B001_3,5.78
SWW11127B002_3,7.78
SWW11127B003_3,9.49
SWW11127B004T_3,9.86
SWW11127B005T_3,8.52
SWW111281SSD111U_3,8.01
SWW111281SSD112_3,8.75
SWW111281SSD113_3,7.86
SWW111281SSD114_3,6.82
SWW111281SSD115_3,8.9
SWW111281SSD116_3,8.52
SWW111281SSD117U_3,8.6
SWW11130B001T_3,8.08
SWW11131B001T_3,9.86
SWW11131B002_3,8.15
SWW11131B003_3,8.67
SWW11131B004_3,7.41
SWW11131B005_3,9.34
SWW11131B006_3,7.34
SWW11131B007_3,7.19
SWW11131B008T_3,7.04
SWW11137B001_3,9.04
SWW11137B002_3,8.6
SWW11137B003U_3,9.27
SWW11137B004_3,8.23
SWW11137B005T_3,8.3
SWW11137B006U_3,8.23
SWW11138B001_3,7.19
SWW11138B002U_3,8.67
SWW11138B003_3,8.3
SWW11138B004_3,8.9
SWW11138B005_3,9.49
SWW11138B006_3,8.82
SWW11138B007_3,8.82
SWW11139B001_3,8.3
SWW11139B002_3,8.23
SWW11139B003_3,7.41
SWW11139B004_3,7.49
SWW11139B005_3,7.26
SWW11139B006_3,7.71
SWW11139B008U_3,7.26
SWW11139B009_3,7.93
SWW11140B001_3,8.82
SWW11140B002_3,9.49
SWW11140B003_3,10.01
SWW11140B004_3,9.56
SWW11140B005_3,9.86
SWW11140B006_3,9.56
SWW11140B007_3,10.08
SWW11140B008_3,9.71
SWW11142B001T_3,10.23
SWW11142B002_3,9.19
SWW11142B003_3,10.38
SWW11142B004U_3,9.86
SWW11142B005_3,11.05
SWW11143B001U_3,9.56
SWW11143B002U_3,8.97
SWW11143B003U_3,10.38
SWW11143B004_3,10.97
SWW11143B005_3,10.3
SWW11145B001_3,9.86
SWW11145B002U_3,10.53
SWW11145B003_3,10.08
SWW11146B001_3,9.93
SWW11146B002_3,10.16
SWW11154B001_3,8.08
SWW11155B001_3,6.6
SWW11155B002_3,7.26
SWW11155B003_3,8.38
SWW11155B004_3,9.19
SWW11157B001T_3,9.04
SWW11157B002T_3,9.93
SWW11157B003_3,9.56
SWW11157B004_3,8.38
SWW11157B005_3,8.6
SWW11158B001T_3,9.04
SWW11158B002_3,7.93
SWW11158B003_3,8.3
SWW11159B001_3,7.64
SWW11159B002_3,7.78
SWW11159B003U_3,7.41
SWW11166B001U_3,9.41
SWW11166B002U_3,7.93
SWW11166B003_3,8.75
SWW11166B004_3,8.45
SWW11166B005_3,8.82
SWW11166B006_3,9.41
SWW11166B007_3,8.9
SWW11166B008_3,8.67
SWW11166B009_3,8.3
SWW11184B001_3,8.3
SWW11184B002_3,7.71
SWW11184B003_3,7.34
SWW11184B004_3,6.82
SWW11184B005_3,6.67
SWW11187B001_3,7.12
SWW11187B002_3,8.38
SWW11187B003_3,8.23
SWW11188B001_3,7.19
SWW11188B002U_3,8.9
SWW11188B003_3,8.01
SWW11191B001UT_3,7.56
SWW11191B002U_3,6.75
SWW11191B003_3,7.64
SWW11191B004U_3,7.86
SWW11191B005_3,8.08
SWW11192B0010_3,8.52
SWW11192B0011_3,9.71
SWW11192B0012_3,5.34
SWW11192B0013_3,10.75
SWW11192B001U_3,7.56
SWW11192B002_3,7.19
SWW11192B003_3,8.08
SWW11192B004_3,8.3
